# K short	G0205
# scanned warm
# Wavelength (nm)	%T
2420	0.026866
2419	0.023739
2418	0.024196
2417	0.02774
2416	0.02797
2415	0.025217
2414	0.023127
2413	0.026447
2412	0.026819
2411	0.029627
2410	0.030061
2409	0.025655
2408	0.027723
2407	0.039403
2406	0.031619
2405	0.034271
2404	0.029147
2403	0.037937
2402	0.042943
2401	0.044506
2400	0.04494
2399	0.042119
2398	0.045794
2397	0.041164
2396	0.051556
2395	0.052194
2394	0.047874
2393	0.062862
2392	0.057361
2391	0.060353
2390	0.062734
2389	0.067746
2388	0.076138
2387	0.077516
2386	0.082049
2385	0.091243
2384	0.090838
2383	0.094072
2382	0.10173
2381	0.11033
2380	0.11813
2379	0.12375
2378	0.13423
2377	0.14181
2376	0.15052
2375	0.16266
2374	0.17434
2373	0.18632
2372	0.20086
2371	0.2149
2370	0.23255
2369	0.25331
2368	0.27244
2367	0.29647
2366	0.31855
2365	0.35172
2364	0.37568
2363	0.41227
2362	0.44816
2361	0.48738
2360	0.53496
2359	0.58178
2358	0.6434
2357	0.70262
2356	0.76476
2355	0.84099
2354	0.93277
2353	1.0173
2352	1.1248
2351	1.2377
2350	1.3644
2349	1.5162
2348	1.6674
2347	1.8501
2346	2.0491
2345	2.2798
2344	2.5272
2343	2.8165
2342	3.1269
2341	3.4857
2340	3.8902
2339	4.3245
2338	4.8275
2337	5.3825
2336	5.9875
2335	6.6875
2334	7.4621
2333	8.3027
2332	9.2468
2331	10.288
2330	11.439
2329	12.684
2328	14.071
2327	15.613
2326	17.249
2325	19.004
2324	20.968
2323	23.005
2322	25.173
2321	27.592
2320	30.059
2319	32.667
2318	35.417
2317	38.214
2316	41.167
2315	44.151
2314	47.273
2313	50.327
2312	53.442
2311	56.513
2310	59.562
2309	62.502
2308	65.441
2307	68.265
2306	70.87
2305	73.411
2304	75.743
2303	77.928
2302	79.99
2301	81.797
2300	83.465
2299	84.948
2298	86.276
2297	87.451
2296	88.492
2295	89.39
2294	90.156
2293	90.826
2292	91.369
2291	91.833
2290	92.226
2289	92.528
2288	92.793
2287	93.001
2286	93.155
2285	93.28
2284	93.363
2283	93.447
2282	93.489
2281	93.495
2280	93.522
2279	93.536
2278	93.524
2277	93.501
2276	93.49
2275	93.489
2274	93.485
2273	93.436
2272	93.458
2271	93.441
2270	93.402
2269	93.406
2268	93.42
2267	93.39
2266	93.377
2265	93.38
2264	93.386
2263	93.365
2262	93.362
2261	93.356
2260	93.342
2259	93.331
2258	93.312
2257	93.287
2256	93.256
2255	93.238
2254	93.19
2253	93.149
2252	93.094
2251	93.042
2250	92.968
2249	92.906
2248	92.824
2247	92.747
2246	92.653
2245	92.559
2244	92.48
2243	92.362
2242	92.248
2241	92.15
2240	92.037
2239	91.911
2238	91.784
2237	91.69
2236	91.585
2235	91.467
2234	91.366
2233	91.265
2232	91.165
2231	91.053
2230	90.972
2229	90.875
2228	90.791
2227	90.733
2226	90.658
2225	90.601
2224	90.54
2223	90.509
2222	90.483
2221	90.453
2220	90.436
2219	90.447
2218	90.445
2217	90.461
2216	90.485
2215	90.535
2214	90.553
2213	90.621
2212	90.69
2211	90.754
2210	90.827
2209	90.924
2208	91.05
2207	91.135
2206	91.264
2205	91.41
2204	91.546
2203	91.676
2202	91.814
2201	91.973
2200	92.104
2199	92.269
2198	92.41
2197	92.539
2196	92.691
2195	92.802
2194	92.929
2193	93.044
2192	93.116
2191	93.217
2190	93.289
2189	93.365
2188	93.435
2187	93.491
2186	93.544
2185	93.591
2184	93.623
2183	93.648
2182	93.654
2181	93.665
2180	93.709
2179	93.702
2178	93.706
2177	93.729
2176	93.711
2175	93.696
2174	93.695
2173	93.71
2172	93.684
2171	93.659
2170	93.675
2169	93.672
2168	93.653
2167	93.64
2166	93.636
2165	93.617
2164	93.613
2163	93.6
2162	93.573
2161	93.578
2160	93.584
2159	93.577
2158	93.578
2157	93.563
2156	93.568
2155	93.585
2154	93.566
2153	93.544
2152	93.577
2151	93.563
2150	93.556
2149	93.56
2148	93.554
2147	93.519
2146	93.512
2145	93.51
2144	93.455
2143	93.451
2142	93.431
2141	93.378
2140	93.368
2139	93.312
2138	93.276
2137	93.213
2136	93.148
2135	93.077
2134	93.023
2133	92.929
2132	92.859
2131	92.758
2130	92.68
2129	92.589
2128	92.49
2127	92.391
2126	92.311
2125	92.205
2124	92.12
2123	92.02
2122	91.914
2121	91.851
2120	91.751
2119	91.657
2118	91.559
2117	91.492
2116	91.405
2115	91.334
2114	91.285
2113	91.231
2112	91.148
2111	91.128
2110	91.099
2109	91.064
2108	91.032
2107	91.041
2106	91.05
2105	91.045
2104	91.07
2103	91.12
2102	91.158
2101	91.214
2100	91.271
2099	91.356
2098	91.437
2097	91.518
2096	91.625
2095	91.722
2094	91.818
2093	91.928
2092	92.039
2091	92.14
2090	92.25
2089	92.368
2088	92.452
2087	92.538
2086	92.625
2085	92.691
2084	92.747
2083	92.77
2082	92.793
2081	92.809
2080	92.774
2079	92.737
2078	92.695
2077	92.598
2076	92.497
2075	92.386
2074	92.234
2073	92.04
2072	91.88
2071	91.671
2070	91.435
2069	91.22
2068	90.981
2067	90.733
2066	90.483
2065	90.25
2064	90.006
2063	89.766
2062	89.547
2061	89.358
2060	89.172
2059	89.001
2058	88.875
2057	88.745
2056	88.646
2055	88.6
2054	88.565
2053	88.576
2052	88.611
2051	88.698
2050	88.786
2049	88.917
2048	89.073
2047	89.254
2046	89.424
2045	89.606
2044	89.794
2043	89.97
2042	90.107
2041	90.202
2040	90.255
2039	90.206
2038	90.075
2037	89.819
2036	89.441
2035	88.899
2034	88.171
2033	87.254
2032	86.131
2031	84.743
2030	83.091
2029	81.245
2028	79.087
2027	76.712
2026	74.141
2025	71.308
2024	68.221
2023	65.106
2022	61.766
2021	58.414
2020	54.992
2019	51.563
2018	48.155
2017	44.727
2016	41.49
2015	38.335
2014	35.253
2013	32.425
2012	29.723
2011	27.125
2010	24.692
2009	22.533
2008	20.43
2007	18.571
2006	16.862
2005	15.236
2004	13.8
2003	12.455
2002	11.283
2001	10.192
2000	9.2212
1999	8.321
1998	7.3901
1997	6.7098
1996	6.0746
1995	5.4969
1994	4.9722
1993	4.5065
1992	4.0736
1991	3.6845
1990	3.3465
1989	3.0307
1988	2.7555
1987	2.5111
1986	2.2726
1985	2.0686
1984	1.8862
1983	1.7236
1982	1.5647
1981	1.431
1980	1.3047
1979	1.1986
1978	1.0934
1977	1.0032
1976	0.91584
1975	0.84008
