# lambda       B1            B2          B3           B4
#
  5366.6   0.00011970   0.00012053   0.00010438   0.00009320 
  5371.9   0.00011887   0.00009672   0.00011871   0.00008032 
  5377.2   0.00009622   0.00014364   0.00012602   0.00011028 
  5382.4   0.00016717   0.00008593   0.00014112   0.00009885 
  5387.7   0.00014025   0.00012935   0.00010080   0.00010321 
  5393.0   0.00016820   0.00010013   0.00009689   0.00015827 
  5398.3   0.00018288   0.00006479   0.00015570   0.00012313 
  5403.5   0.00017227   0.00008450   0.00010668   0.00010040 
  5408.8   0.00014160   0.00009558   0.00008250   0.00008388 
  5414.1   0.00017120   0.00013340   0.00009598   0.00008755 
  5419.4   0.00019054   0.00015772   0.00010615   0.00010277 
  5424.6   0.00022170   0.00010885   0.00010976   0.00011022 
  5429.9   0.00013565   0.00014015   0.00008993   0.00010182 
  5435.2   0.00009700   0.00014227   0.00008136   0.00009437 
  5440.4   0.00022807   0.00005810   0.00010510   0.00010883 
  5445.7   0.00018600   0.00007508   0.00013137   0.00009188 
  5451.0   0.00022330   0.00009906   0.00013197   0.00011106 
  5456.3   0.00011937   0.00016514   0.00010875   0.00012533 
  5461.5   0.00013361   0.00013099   0.00015269   0.00011754 
  5466.8   0.00010713   0.00010223   0.00012475   0.00010594 
  5472.1   0.00020670   0.00010028   0.00012283   0.00008873 
  5477.4   0.00012822   0.00010462   0.00011140   0.00011113 
  5482.6   0.00011841   0.00010027   0.00015809   0.00010018 
  5487.9   0.00010907   0.00013640   0.00014051   0.00009908 
  5493.2   0.00011898   0.00006934   0.00017126   0.00015020 
  5498.4   0.00011423   0.00005946   0.00010427   0.00016289 
  5503.7   0.00011847   0.00008702   0.00013444   0.00011150 
  5509.0   0.00014188   0.00011889   0.00015887   0.00007357 
  5514.3   0.00014192   0.00013603   0.00014250   0.00006772 
  5519.5   0.00014007   0.00013748   0.00009579   0.00009031 
  5524.8   0.00013961   0.00007589   0.00009431   0.00010127 
  5530.1   0.00016862   0.00011546   0.00013062   0.00012300 
  5535.3   0.00008888   0.00009700   0.00010862   0.00008893 
  5540.6   0.00014401   0.00014541   0.00021006   0.00013870 
  5545.9   0.00013424   0.00008998   0.00011280   0.00008453 
  5551.2   0.00016208   0.00011055   0.00010570   0.00013742 
  5556.4   0.00007784   0.00013002   0.00011137   0.00013317 
  5561.7   0.00010422   0.00012615   0.00011587   0.00011731 
  5567.0   0.00011366   0.00012421   0.00013569   0.00010572 
  5572.2   0.00009573   0.00009430   0.00010968   0.00008383 
  5577.5   0.00013175   0.00013519   0.00010130   0.00016502 
  5582.8   0.00009312   0.00013339   0.00007451   0.00013535 
  5588.1   0.00008255   0.00011935   0.00011316   0.00009979 
  5593.3   0.00025372   0.00013045   0.00010687   0.00009691 
  5598.6   0.00015002   0.00015199   0.00010602   0.00009849 
  5603.9   0.00011403   0.00018026   0.00006298   0.00015151 
  5609.2   0.00019906   0.00011805   0.00008939   0.00008039 
