         7 = grain model
 3.000E-08 3.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1
 3.000E-07 3.000E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2
 5.000E-01 1.000E+05 2.500E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.497E+00 = <U> 
     mmp83 = radfield

 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy sr-1 H-1)
 2.032E+02  2.059E-24  1.110E-37
 2.014E+02  2.098E-24  1.121E-37
 1.995E+02  2.137E-24  1.131E-37
 1.977E+02  2.177E-24  1.142E-37
 1.959E+02  2.217E-24  1.152E-37
 1.941E+02  2.257E-24  1.162E-37
 1.923E+02  2.297E-24  1.171E-37
 1.905E+02  2.337E-24  1.181E-37
 1.888E+02  2.377E-24  1.190E-37
 1.871E+02  2.417E-24  1.200E-37
 1.854E+02  2.458E-24  1.208E-37
 1.837E+02  2.498E-24  1.217E-37
 1.820E+02  2.539E-24  1.225E-37
 1.803E+02  2.579E-24  1.234E-37
 1.786E+02  2.620E-24  1.241E-37
 1.770E+02  2.660E-24  1.249E-37
 1.754E+02  2.701E-24  1.257E-37
 1.738E+02  2.741E-24  1.264E-37
 1.722E+02  2.782E-24  1.271E-37
 1.706E+02  2.822E-24  1.277E-37
 1.690E+02  2.863E-24  1.284E-37
 1.675E+02  2.903E-24  1.290E-37
 1.660E+02  2.943E-24  1.296E-37
 1.644E+02  2.984E-24  1.301E-37
 1.629E+02  3.024E-24  1.307E-37
 1.614E+02  3.064E-24  1.312E-37
 1.600E+02  3.104E-24  1.317E-37
 1.585E+02  3.144E-24  1.322E-37
 1.570E+02  3.184E-24  1.326E-37
 1.556E+02  3.224E-24  1.331E-37
 1.542E+02  3.264E-24  1.335E-37
 1.528E+02  3.304E-24  1.339E-37
 1.514E+02  3.344E-24  1.342E-37
 1.500E+02  3.383E-24  1.346E-37
 1.486E+02  3.422E-24  1.349E-37
 1.472E+02  3.461E-24  1.352E-37
 1.459E+02  3.498E-24  1.354E-37
 1.445E+02  3.535E-24  1.355E-37
 1.432E+02  3.569E-24  1.356E-37
 1.419E+02  3.599E-24  1.355E-37
 1.406E+02  3.627E-24  1.353E-37
 1.393E+02  3.650E-24  1.349E-37
 1.380E+02  3.669E-24  1.343E-37
 1.368E+02  3.683E-24  1.336E-37
 1.355E+02  3.693E-24  1.328E-37
 1.343E+02  3.701E-24  1.318E-37
 1.330E+02  3.706E-24  1.308E-37
 1.318E+02  3.710E-24  1.297E-37
 1.306E+02  3.714E-24  1.287E-37
 1.294E+02  3.716E-24  1.276E-37
 1.282E+02  3.718E-24  1.265E-37
 1.271E+02  3.719E-24  1.254E-37
 1.259E+02  3.721E-24  1.243E-37
 1.247E+02  3.722E-24  1.231E-37
 1.236E+02  3.722E-24  1.220E-37
 1.225E+02  3.722E-24  1.209E-37
 1.213E+02  3.721E-24  1.198E-37
 1.202E+02  3.720E-24  1.186E-37
 1.191E+02  3.719E-24  1.175E-37
 1.180E+02  3.716E-24  1.163E-37
 1.169E+02  3.713E-24  1.152E-37
 1.159E+02  3.709E-24  1.140E-37
 1.148E+02  3.704E-24  1.128E-37
 1.138E+02  3.698E-24  1.116E-37
 1.127E+02  3.692E-24  1.104E-37
 1.117E+02  3.685E-24  1.092E-37
 1.107E+02  3.677E-24  1.079E-37
 1.096E+02  3.668E-24  1.067E-37
 1.086E+02  3.659E-24  1.054E-37
 1.076E+02  3.648E-24  1.042E-37
 1.067E+02  3.636E-24  1.029E-37
 1.057E+02  3.624E-24  1.016E-37
 1.047E+02  3.610E-24  1.003E-37
 1.038E+02  3.596E-24  9.896E-38
 1.028E+02  3.579E-24  9.760E-38
 1.019E+02  3.563E-24  9.626E-38
 1.009E+02  3.545E-24  9.491E-38
 1.000E+02  3.527E-24  9.355E-38
 9.908E+01  3.507E-24  9.218E-38
 9.817E+01  3.487E-24  9.080E-38
 9.727E+01  3.466E-24  8.942E-38
 9.638E+01  3.443E-24  8.804E-38
 9.550E+01  3.420E-24  8.665E-38
 9.462E+01  3.397E-24  8.525E-38
 9.376E+01  3.372E-24  8.386E-38
 9.290E+01  3.346E-24  8.246E-38
 9.204E+01  3.320E-24  8.106E-38
 9.120E+01  3.293E-24  7.966E-38
 9.036E+01  3.265E-24  7.826E-38
 8.954E+01  3.237E-24  7.687E-38
 8.872E+01  3.208E-24  7.548E-38
 8.790E+01  3.178E-24  7.410E-38
 8.710E+01  3.147E-24  7.269E-38
 8.630E+01  3.116E-24  7.132E-38
 8.551E+01  3.085E-24  6.996E-38
 8.472E+01  3.052E-24  6.859E-38
 8.395E+01  3.020E-24  6.725E-38
 8.318E+01  2.987E-24  6.591E-38
 8.241E+01  2.954E-24  6.458E-38
 8.166E+01  2.921E-24  6.327E-38
 8.091E+01  2.887E-24  6.197E-38
 8.017E+01  2.854E-24  6.068E-38
 7.943E+01  2.819E-24  5.940E-38
 7.870E+01  2.785E-24  5.814E-38
 7.798E+01  2.750E-24  5.689E-38
 7.727E+01  2.715E-24  5.565E-38
 7.656E+01  2.680E-24  5.443E-38
 7.586E+01  2.645E-24  5.323E-38
 7.516E+01  2.610E-24  5.204E-38
 7.447E+01  2.574E-24  5.086E-38
 7.379E+01  2.538E-24  4.968E-38
 7.311E+01  2.503E-24  4.854E-38
 7.244E+01  2.465E-24  4.738E-38
 7.178E+01  2.430E-24  4.626E-38
 7.112E+01  2.395E-24  4.517E-38
 7.047E+01  2.359E-24  4.410E-38
 6.982E+01  2.325E-24  4.306E-38
 6.918E+01  2.290E-24  4.202E-38
 6.855E+01  2.255E-24  4.101E-38
 6.792E+01  2.221E-24  4.001E-38
 6.730E+01  2.186E-24  3.903E-38
 6.668E+01  2.152E-24  3.807E-38
