#wave       R1        R2         R3         R4
#
8356.64 0.000364669 0.000141532 0.000149184 0.000244778
8363.75 0.000190228 0.000175646 0.000208828 0.000141617
8370.86 0.000196663 0.000248926 0.000177882 0.00030355
8377.97 0.00014663 0.00011623 0.00027873 9.62383e-05
8385.08 0.000352068 6.12556e-05 0.000199379 8.72691e-05
8392.19 0.000289302 0.000267553 0.000268376 0.000287817
8399.3 0.000249283 0.000200758 0.000161426 0.000155167
8406.42 0.000201804 0.00020193 0.000207788 0.000142761
8413.53 0.000222717 0.000249936 0.000281911 0.000155383
8420.64 0.000168635 0.000157118 0.000269881 0.000204951
8427.75 0.000304069 0.000289293 0.000196936 0.000179497
8434.86 0.00032899 0.00021191 0.00027631 0.000254737
8441.97 0.000195789 0.000247556 0.00015337 0.000163973
8449.09 0.000249504 0.000347726 0.000340433 0.000242383
8456.2 0.000278462 0.000348657 0.00023224 0.000313856
8463.31 0.000231564 0.000134427 0.000241498 0.000182819
8470.42 0.000113766 0.000169445 0.000148559 0.000131324
8477.53 0.000297513 0.000279546 0.000126373 9.48804e-05
8484.64 0.00031765 0.000191689 0.000110963 0.000203718
8491.75 0.00020291 0.000213859 0.000181985 0.000101086
8498.87 0.00032514 0.000110168 0.000170522 0.00015941
8505.98 0.000227888 0.000179944 0.00015352 0.000164692
8513.09 0.000238524 0.000132435 0.000158606 0.000205055
8520.2 0.000432802 0.000198796 0.000150267 0.000112163
8527.31 0.000251493 0.000311863 0.000181299 0.000208328
8534.42 0.000206295 0.000194408 0.000303594 0.000310251
8541.53 0.000212977 0.000191688 0.000196934 0.0001036
8548.65 0.000346845 0.000265179 0.000275007 6.53494e-05
8555.76 0.000292859 0.000236729 0.000291423 0.000129115
